time,average_humanPower,D5_humanPower,average_ThrottleOutput,D5_ThrottleOutput,bpm,d5_bpm,frequence
2019-07-26-22-12,132.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-07-26-22-12,132.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-07-26-22-12,132.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-07-26-22-12,128.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-07-26-22-12,128.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-07-26-22-12,128.0,26.0,1.0,0.0,69.0,14.0,0.03932584269662921
2019-08-20-18-41,131.0,26.0,1.0,0.0,68.0,14.0,0.03932584269662921
2019-07-26-22-12,137.0,27.0,1.0,0.0,69.0,14.0,0.028089887640449437
2019-07-26-22-12,137.0,27.0,1.0,0.0,69.0,14.0,0.028089887640449437
2019-07-26-22-12,137.0,27.0,1.0,0.0,69.0,14.0,0.028089887640449437
2019-07-29-23-22,135.0,27.0,1.0,0.0,69.0,14.0,0.028089887640449437
2019-08-20-18-12,137.0,27.0,1.0,0.0,72.0,14.0,0.028089887640449437
2019-07-26-22-13,120.0,24.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,120.0,24.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,120.0,24.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,120.0,24.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,57.0,11.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,57.0,11.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,57.0,11.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,57.0,11.0,1.0,0.0,73.0,15.0,0.02247191011235955
2019-07-26-22-13,65.0,13.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,65.0,13.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,65.0,13.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,65.0,13.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-29-22-59,63.0,13.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,90.0,18.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,90.0,18.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,90.0,18.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-07-26-22-13,90.0,18.0,1.0,0.0,73.0,15.0,0.028089887640449437
2019-08-20-18-39,89.0,18.0,1.0,0.0,74.0,15.0,0.028089887640449437
2019-07-26-22-15,100.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,100.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,100.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,100.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,99.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,99.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,99.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,99.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-29-22-43,100.0,20.0,1.0,0.0,67.0,13.0,0.056179775280898875
2019-08-20-18-51,99.0,20.0,1.0,0.0,65.0,13.0,0.056179775280898875
2019-07-26-22-15,125.0,25.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-26-22-15,125.0,25.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-26-22-15,125.0,25.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-26-22-15,125.0,25.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-29-22-31,123.0,25.0,1.0,0.0,65.0,13.0,0.033707865168539325
2019-07-29-22-48,126.0,25.0,1.0,0.0,67.0,13.0,0.033707865168539325
2019-07-26-22-17,58.0,12.0,1.0,0.0,77.0,15.0,0.0056179775280898875
2019-07-26-22-18,106.0,21.0,1.0,0.0,72.0,14.0,0.016853932584269662
2019-08-20-18-48,105.0,21.0,1.0,0.0,72.0,14.0,0.016853932584269662
2019-08-20-18-50,107.0,21.0,1.0,0.0,70.0,14.0,0.016853932584269662
2019-07-26-22-20,71.0,14.0,1.0,0.0,63.0,13.0,0.016853932584269662
2019-07-29-23-20,72.0,14.0,1.0,0.0,66.0,13.0,0.016853932584269662
2019-07-29-23-34,69.0,14.0,1.0,0.0,66.0,13.0,0.016853932584269662
2019-07-26-22-22,146.0,29.0,1.0,0.0,62.0,12.0,0.016853932584269662
2019-07-26-22-23,143.0,29.0,1.0,0.0,59.0,12.0,0.016853932584269662
2019-07-29-23-17,145.0,29.0,1.0,0.0,60.0,12.0,0.016853932584269662
2019-07-26-22-25,75.0,15.0,1.0,0.0,63.0,13.0,0.0056179775280898875
2019-07-27-18-23,96.0,19.0,1.0,0.0,76.0,15.0,0.0056179775280898875
2019-07-27-18-28,125.0,25.0,1.0,0.0,73.0,15.0,0.016853932584269662
2019-07-27-18-28,125.0,25.0,1.0,0.0,73.0,15.0,0.016853932584269662
2019-08-20-18-36,127.0,25.0,1.0,0.0,76.0,15.0,0.016853932584269662
2019-07-27-18-28,142.0,28.0,1.0,0.0,73.0,15.0,0.016853932584269662
2019-07-27-18-28,142.0,28.0,1.0,0.0,73.0,15.0,0.016853932584269662
2019-08-20-18-43,141.0,28.0,1.0,0.0,74.0,15.0,0.016853932584269662
2019-07-27-18-29,78.0,16.0,1.0,0.0,72.0,14.0,0.033707865168539325
2019-07-29-22-45,81.0,16.0,1.0,0.0,70.0,14.0,0.033707865168539325
2019-07-29-23-35,79.0,16.0,1.0,0.0,72.0,14.0,0.033707865168539325
2019-08-20-18-19,80.0,16.0,1.0,0.0,71.0,14.0,0.033707865168539325
2019-08-20-18-38,82.0,16.0,1.0,0.0,71.0,14.0,0.033707865168539325
2019-08-20-18-47,79.0,16.0,1.0,0.0,70.0,14.0,0.033707865168539325
2019-07-27-23-23,52.0,10.0,1.0,0.0,66.0,13.0,0.0056179775280898875
2019-07-27-23-24,110.0,22.0,1.0,0.0,67.0,13.0,0.011235955056179775
2019-07-29-23-33,108.0,22.0,1.0,0.0,67.0,13.0,0.011235955056179775
2019-07-27-23-26,138.0,28.0,1.0,0.0,65.0,13.0,0.0056179775280898875
2019-07-29-22-29,77.0,15.0,1.0,0.0,72.0,14.0,0.0056179775280898875
2019-07-29-22-33,55.0,11.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-29-22-38,54.0,11.0,1.0,0.0,69.0,14.0,0.02247191011235955
2019-07-29-23-31,56.0,11.0,1.0,0.0,70.0,14.0,0.02247191011235955
2019-08-20-18-58,56.0,11.0,1.0,0.0,71.0,14.0,0.02247191011235955
2019-07-29-22-34,101.0,20.0,1.0,0.0,70.0,14.0,0.016853932584269662
2019-08-20-18-14,98.0,20.0,1.0,0.0,71.0,14.0,0.016853932584269662
2019-08-20-18-56,101.0,20.0,1.0,0.0,68.0,14.0,0.016853932584269662
2019-07-29-22-35,147.0,29.0,1.0,0.0,64.0,13.0,0.011235955056179775
2019-07-29-22-56,144.0,29.0,1.0,0.0,67.0,13.0,0.011235955056179775
2019-07-29-22-37,88.0,18.0,1.0,0.0,71.0,14.0,0.016853932584269662
2019-07-29-22-46,92.0,18.0,1.0,0.0,71.0,14.0,0.016853932584269662
2019-08-20-18-17,90.0,18.0,1.0,0.0,72.0,14.0,0.016853932584269662
2019-07-29-22-40,139.0,28.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-29-22-53,141.0,28.0,1.0,0.0,71.0,14.0,0.02247191011235955
2019-07-29-22-54,141.0,28.0,1.0,0.0,71.0,14.0,0.02247191011235955
2019-07-29-22-55,141.0,28.0,1.0,0.0,71.0,14.0,0.02247191011235955
2019-07-29-22-42,125.0,25.0,1.0,0.0,69.0,14.0,0.02247191011235955
2019-07-29-23-23,126.0,25.0,1.0,0.0,71.0,14.0,0.02247191011235955
2019-07-29-23-27,126.0,25.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-29-23-29,123.0,25.0,1.0,0.0,68.0,14.0,0.02247191011235955
2019-07-29-22-52,109.0,22.0,1.0,0.0,72.0,14.0,0.016853932584269662
2019-07-29-23-19,110.0,22.0,1.0,0.0,69.0,14.0,0.016853932584269662
2019-08-20-18-42,109.0,22.0,1.0,0.0,70.0,14.0,0.016853932584269662
2019-07-29-22-57,107.0,21.0,1.0,0.0,74.0,15.0,0.011235955056179775
2019-08-20-18-18,104.0,21.0,1.0,0.0,73.0,15.0,0.011235955056179775
2019-07-29-22-58,95.0,19.0,1.0,0.0,81.0,16.0,0.011235955056179775
2019-08-20-18-33,96.0,19.0,1.0,0.0,82.0,16.0,0.011235955056179775
2019-07-29-23-01,129.0,26.0,1.0,0.0,65.0,13.0,0.0056179775280898875
2019-07-29-23-26,87.0,17.0,1.0,0.0,66.0,13.0,0.0056179775280898875
2019-07-29-23-28,120.0,24.0,1.0,0.0,85.0,17.0,0.011235955056179775
2019-08-20-18-11,121.0,24.0,1.0,0.0,85.0,17.0,0.011235955056179775
2019-07-29-23-32,68.0,14.0,1.0,0.0,73.0,15.0,0.011235955056179775
2019-08-20-18-40,68.0,14.0,1.0,0.0,74.0,15.0,0.011235955056179775
2019-08-20-18-15,149.0,30.0,1.0,0.0,70.0,14.0,0.0056179775280898875
2019-08-20-18-37,50.0,10.0,1.0,0.0,73.0,15.0,0.0056179775280898875
2019-08-20-18-44,91.0,18.0,1.0,0.0,88.0,18.0,0.0056179775280898875
2019-08-20-18-45,108.0,22.0,1.0,0.0,74.0,15.0,0.0056179775280898875
2019-08-20-18-49,85.0,17.0,1.0,0.0,79.0,16.0,0.0056179775280898875
2019-08-20-18-57,80.0,16.0,1.0,0.0,73.0,15.0,0.0056179775280898875
